Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,COMUNA
Cinemómetro,Av. Figueroa Alcorta 6180,Exceso de velocidad,-34.558211,-58.428843,14
Cinemómetro,Av. Rafael Obligado 4845,Exceso de velocidad,-34.552064,-58.426615,14
Cinemómetro,Av. Sarmiento 3480,Exceso de velocidad,-34.5738,-58.413855,14
Cinemómetro,Av. Dorrego 3370,Exceso de velocidad,-34.571904,-58.425513,14
Cinemómetro,Au. Leopoldo Lugones km 4.9,Exceso de velocidad,-34.563469,-58.415145,14
Cinemómetro,Au. Leopoldo Lugones km 4.9,Exceso de velocidad,-34.563469,-58.415145,14
Cinemómetro,Av. Dorrego 3700,Exceso de velocidad,-34.566905,-58.420924,14
Cinemómetro,Av. Dorrego 3700,Exceso de velocidad,-34.56716,-58.420969,14
Cinemómetro,Av. Figueroa Alcorta 4750,Exceso de velocidad,-34.56825,-58.41608,14
Analítica de video,Av. Las Heras 2289,"semáforo rojo, senda peatonal, Giro indebido",-34.587597,-58.3968022,2
Analítica de video,Av. Santa Fe 2622,"semáforo rojo, senda peatonal",-34.5941423,-58.4040057,2
Analítica de video,Av. Pueyrredón 1418,"semáforo rojo, senda peatonal, Giro indebido, Uso de cinturón, uso de celular",-34.5941097,-58.4023757,2
Analítica de video,Av. Callao 1588,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5909955,-58.3912392,2
Cinemómetro,Av. Figueroa Alcorta 2210,Exceso de velocidad,-34.5837,-58.391703,2
Analítica de video,Av. Olivera 187,"semáforo rojo, senda peatonal",-34.6376715,-58.4871991,10
Analítica de video,Av. Rivadavia 9618,"semáforo rojo, senda peatonal, Giro indebido",-34.6376219,-58.4997174,10
Analítica de video,Lima 1365,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6376219,-58.4997174,10
Cinemómetro,Calle Irigoyen 1761,Exceso de velocidad,-34.624617,-58.521342,10
Cinemómetro,Au. Perito Moreno km 2.9,Exceso de velocidad,-34.635783,-58.499819,10
Cinemómetro,Au. Perito Moreno km 2.9,Exceso de velocidad,-34.635783,-58.499819,10
Cinemómetro,Au. General Paz km 13.1,Exceso de velocidad,-34.629026,-58.530079,10
Cinemómetro,Au. General Paz km 13.1,Exceso de velocidad,-34.629026,-58.530079,10
Analítica de video,Av. Juan B. Justo 4781,"semáforo rojo, senda peatonal, Giro indebido",-34.6102978,-58.46633,11
Analítica de video,Av. Córdoba 1980,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6102978,-58.46633,11
Cinemómetro,Au. General Paz km 10.0,Exceso de velocidad,-34.599446,-58.523333,11
Cinemómetro,Au. General Paz km 10.0,Exceso de velocidad,-34.599446,-58.523333,11
Analítica de video,AV.Boedo 965,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6250301,-58.4163128,5
Cinemómetro,Av. Belgrano 3349,Exceso de velocidad,-34.615279,-58.413742,5
Cinemómetro,Av. Córdoba 3762,Exceso de velocidad,-34.597818,-58.419661,5
Cinemómetro,Au. 25 de mayo km 5.3,Exceso de velocidad,-34.626986,-58.41329,5
Cinemómetro,Au. 25 de mayo km 5.3,Exceso de velocidad,-34.626986,-58.41329,5
Cinemómetro,Av. Díaz Vélez 3420,Exceso de velocidad,-34.608335,-58.414838,5
Cinemómetro,Av. Chiclana 3474,Exceso de velocidad,-34.636013,-58.413545,5
